"SampleID","Site","SeqBatch","StudyID","SampleType","Date","WOY","SiteLat","SiteLong","newDate","dayLength","DOY","DayRange","Window","DateWindowStart","DateWindowEnd"
"oro160545","MAP",4.2,"oro16","sample","4/22/16",17,42.72248,-71.606722,2016-04-22,13.7025352385293,113,"(108,118]",2,2016-04-17,2016-04-27
"oro160535","MAP",4.2,"oro16","sample","4/22/16",17,42.72248,-71.606722,2016-04-22,13.7025352385293,113,"(108,118]",2,2016-04-17,2016-04-27
"oro161288","EPS",1.2,"oro16","sample","4/24/16",17,43.206489,-71.364058,2016-04-24,13.8208818278661,115,"(108,118]",2,2016-04-17,2016-04-27
"oro162110","HOP",1.2,"oro16","sample","4/23/16",17,43.155838,-71.727587,2016-04-23,13.7728643571515,114,"(108,118]",2,2016-04-17,2016-04-27
"oro162207","FOX",4.1,"oro16","sample","4/22/16",17,43.137939,-71.912814,2016-04-22,13.7266511478193,113,"(108,118]",2,2016-04-17,2016-04-27
"oro162112","HOP",1.2,"oro16","sample","4/23/16",17,43.155838,-71.727587,2016-04-23,13.7728643571515,114,"(108,118]",2,2016-04-17,2016-04-27
"oro162204","FOX",4.1,"oro16","sample","4/22/16",17,43.137939,-71.912814,2016-04-22,13.7266511478193,113,"(108,118]",2,2016-04-17,2016-04-27
"oro160395","BRN",4.2,"oro16","sample","4/22/16",17,42.731521,-71.605841,2016-04-22,13.7030563166149,113,"(108,118]",2,2016-04-17,2016-04-27
"oro161291","EPS",1.2,"oro16","sample","4/24/16",17,43.206489,-71.364058,2016-04-24,13.8208818278661,115,"(108,118]",2,2016-04-17,2016-04-27
"oro161294","EPS",1.2,"oro16","sample","4/24/16",17,43.206489,-71.364058,2016-04-24,13.8208818278661,115,"(108,118]",2,2016-04-17,2016-04-27
"oro160537","MAP",4.2,"oro16","sample","4/22/16",17,42.72248,-71.606722,2016-04-22,13.7025352385293,113,"(108,118]",2,2016-04-17,2016-04-27
"oro162197","FOX",4.1,"oro16","sample","4/22/16",17,43.137939,-71.912814,2016-04-22,13.7266511478193,113,"(108,118]",2,2016-04-17,2016-04-27
"oro162206","FOX",4.1,"oro16","sample","4/22/16",17,43.137939,-71.912814,2016-04-22,13.7266511478193,113,"(108,118]",2,2016-04-17,2016-04-27
"oro161292","EPS",1.2,"oro16","sample","4/24/16",17,43.206489,-71.364058,2016-04-24,13.8208818278661,115,"(108,118]",2,2016-04-17,2016-04-27
"oro160538","MAP",4.2,"oro16","sample","4/22/16",17,42.72248,-71.606722,2016-04-22,13.7025352385293,113,"(108,118]",2,2016-04-17,2016-04-27
"oro162200","FOX",4.1,"oro16","sample","4/22/16",17,43.137939,-71.912814,2016-04-22,13.7266511478193,113,"(108,118]",2,2016-04-17,2016-04-27
"oro160394","BRN",4.2,"oro16","sample","4/22/16",17,42.731521,-71.605841,2016-04-22,13.7030563166149,113,"(108,118]",2,2016-04-17,2016-04-27
"oro160540","MAP",4.2,"oro16","sample","4/22/16",17,42.72248,-71.606722,2016-04-22,13.7025352385293,113,"(108,118]",2,2016-04-17,2016-04-27
"oro162203","FOX",4.1,"oro16","sample","4/22/16",17,43.137939,-71.912814,2016-04-22,13.7266511478193,113,"(108,118]",2,2016-04-17,2016-04-27
"oro161290","EPS",1.2,"oro16","sample","4/24/16",17,43.206489,-71.364058,2016-04-24,13.8208818278661,115,"(108,118]",2,2016-04-17,2016-04-27
"oro160542","MAP",4.2,"oro16","sample","4/22/16",17,42.72248,-71.606722,2016-04-22,13.7025352385293,113,"(108,118]",2,2016-04-17,2016-04-27
"oro160387","BRN",4.2,"oro16","sample","4/22/16",17,42.731521,-71.605841,2016-04-22,13.7030563166149,113,"(108,118]",2,2016-04-17,2016-04-27
"oro161286","EPS",1.2,"oro16","sample","4/24/16",17,43.206489,-71.364058,2016-04-24,13.8208818278661,115,"(108,118]",2,2016-04-17,2016-04-27
"oro160388","BRN",4.2,"oro16","sample","4/22/16",17,42.731521,-71.605841,2016-04-22,13.7030563166149,113,"(108,118]",2,2016-04-17,2016-04-27
"oro162111","HOP",1.2,"oro16","sample","4/23/16",17,43.155838,-71.727587,2016-04-23,13.7728643571515,114,"(108,118]",2,2016-04-17,2016-04-27
"oro162201","FOX",4.1,"oro16","sample","4/22/16",17,43.137939,-71.912814,2016-04-22,13.7266511478193,113,"(108,118]",2,2016-04-17,2016-04-27
"oro162108","HOP",1.2,"oro16","sample","4/23/16",17,43.155838,-71.727587,2016-04-23,13.7728643571515,114,"(108,118]",2,2016-04-17,2016-04-27
"oro162109","HOP",1.2,"oro16","sample","4/23/16",17,43.155838,-71.727587,2016-04-23,13.7728643571515,114,"(108,118]",2,2016-04-17,2016-04-27
"oro160385","BRN",4.2,"oro16","sample","4/22/16",17,42.731521,-71.605841,2016-04-22,13.7030563166149,113,"(108,118]",2,2016-04-17,2016-04-27
"oro160536","MAP",4.2,"oro16","sample","4/22/16",17,42.72248,-71.606722,2016-04-22,13.7025352385293,113,"(108,118]",2,2016-04-17,2016-04-27
"oro161285","EPS",1.2,"oro16","sample","4/24/16",17,43.206489,-71.364058,2016-04-24,13.8208818278661,115,"(108,118]",2,2016-04-17,2016-04-27
"oro160384","BRN",4.2,"oro16","sample","4/22/16",17,42.731521,-71.605841,2016-04-22,13.7030563166149,113,"(108,118]",2,2016-04-17,2016-04-27
"oro161287","EPS",1.2,"oro16","sample","4/24/16",17,43.206489,-71.364058,2016-04-24,13.8208818278661,115,"(108,118]",2,2016-04-17,2016-04-27
"oro161284","EPS",1.2,"oro16","sample","4/24/16",17,43.206489,-71.364058,2016-04-24,13.8208818278661,115,"(108,118]",2,2016-04-17,2016-04-27
"oro160392","BRN",4.2,"oro16","sample","4/22/16",17,42.731521,-71.605841,2016-04-22,13.7030563166149,113,"(108,118]",2,2016-04-17,2016-04-27
"oro162117","HOP",1.2,"oro16","sample","4/23/16",17,43.155838,-71.727587,2016-04-23,13.7728643571515,114,"(108,118]",2,2016-04-17,2016-04-27
"oro160534","MAP",4.2,"oro16","sample","4/22/16",17,42.72248,-71.606722,2016-04-22,13.7025352385293,113,"(108,118]",2,2016-04-17,2016-04-27
"oro162199","FOX",4.1,"oro16","sample","4/22/16",17,43.137939,-71.912814,2016-04-22,13.7266511478193,113,"(108,118]",2,2016-04-17,2016-04-27
"oro161289","EPS",1.2,"oro16","sample","4/24/16",17,43.206489,-71.364058,2016-04-24,13.8208818278661,115,"(108,118]",2,2016-04-17,2016-04-27
"oro162114","HOP",1.2,"oro16","sample","4/23/16",17,43.155838,-71.727587,2016-04-23,13.7728643571515,114,"(108,118]",2,2016-04-17,2016-04-27
"oro160543","MAP",4.2,"oro16","sample","4/22/16",17,42.72248,-71.606722,2016-04-22,13.7025352385293,113,"(108,118]",2,2016-04-17,2016-04-27
"oro162198","FOX",4.1,"oro16","sample","4/22/16",17,43.137939,-71.912814,2016-04-22,13.7266511478193,113,"(108,118]",2,2016-04-17,2016-04-27
"oro162116","HOP",1.2,"oro16","sample","4/23/16",17,43.155838,-71.727587,2016-04-23,13.7728643571515,114,"(108,118]",2,2016-04-17,2016-04-27
"oro162196","FOX",4.1,"oro16","sample","4/22/16",17,43.137939,-71.912814,2016-04-22,13.7266511478193,113,"(108,118]",2,2016-04-17,2016-04-27
"oro161293","EPS",1.2,"oro16","sample","4/24/16",17,43.206489,-71.364058,2016-04-24,13.8208818278661,115,"(108,118]",2,2016-04-17,2016-04-27
"oro162202","FOX",4.1,"oro16","sample","4/22/16",17,43.137939,-71.912814,2016-04-22,13.7266511478193,113,"(108,118]",2,2016-04-17,2016-04-27
"oro162119","HOP",1.2,"oro16","sample","4/23/16",17,43.155838,-71.727587,2016-04-23,13.7728643571515,114,"(108,118]",2,2016-04-17,2016-04-27
"oro162115","HOP",1.2,"oro16","sample","4/23/16",17,43.155838,-71.727587,2016-04-23,13.7728643571515,114,"(108,118]",2,2016-04-17,2016-04-27
"oro160386","BRN",4.2,"oro16","sample","4/22/16",17,42.731521,-71.605841,2016-04-22,13.7030563166149,113,"(108,118]",2,2016-04-17,2016-04-27
"oro160393","BRN",4.2,"oro16","sample","4/22/16",17,42.731521,-71.605841,2016-04-22,13.7030563166149,113,"(108,118]",2,2016-04-17,2016-04-27
"oro162118","HOP",1.2,"oro16","sample","4/23/16",17,43.155838,-71.727587,2016-04-23,13.7728643571515,114,"(108,118]",2,2016-04-17,2016-04-27
"oro160551","BRN",4.2,"oro16","sample","4/29/16",18,42.731521,-71.605841,2016-04-29,14.0080092685544,120,"(118,128]",3,2016-04-27,2016-05-07
"oro160397","MAP",4.2,"oro16","sample","4/29/16",18,42.72248,-71.606722,2016-04-29,14.0073862503015,120,"(118,128]",3,2016-04-27,2016-05-07
"oro162211","FOX",4.1,"oro16","sample","4/28/16",18,43.137939,-71.912814,2016-04-28,13.9929767416048,119,"(118,128]",3,2016-04-27,2016-05-07
"oro161720","HOL",4.1,"oro16","sample","5/4/16",19,43.7348,-71.59076,2016-05-04,14.2937004575447,125,"(118,128]",3,2016-04-27,2016-05-07
"oro161721","HOL",4.1,"oro16","sample","5/4/16",19,43.7348,-71.59076,2016-05-04,14.2937004575447,125,"(118,128]",3,2016-04-27,2016-05-07
"oro161722","HOL",4.1,"oro16","sample","5/4/16",19,43.7348,-71.59076,2016-05-04,14.2937004575447,125,"(118,128]",3,2016-04-27,2016-05-07
"oro162212","FOX",4.1,"oro16","sample","4/28/16",18,43.137939,-71.912814,2016-04-28,13.9929767416048,119,"(118,128]",3,2016-04-27,2016-05-07
"oro162213","FOX",4.1,"oro16","sample","4/28/16",18,43.137939,-71.912814,2016-04-28,13.9929767416048,119,"(118,128]",3,2016-04-27,2016-05-07
"oro160548","BRN",4.2,"oro16","sample","4/29/16",18,42.731521,-71.605841,2016-04-29,14.0080092685544,120,"(118,128]",3,2016-04-27,2016-05-07
"oro160547","BRN",4.2,"oro16","sample","4/29/16",18,42.731521,-71.605841,2016-04-29,14.0080092685544,120,"(118,128]",3,2016-04-27,2016-05-07
"oro162215","FOX",4.1,"oro16","sample","4/28/16",18,43.137939,-71.912814,2016-04-28,13.9929767416048,119,"(118,128]",3,2016-04-27,2016-05-07
"oro160553","BRN",4.2,"oro16","sample","4/29/16",18,42.731521,-71.605841,2016-04-29,14.0080092685544,120,"(118,128]",3,2016-04-27,2016-05-07
"oro160552","BRN",4.2,"oro16","sample","4/29/16",18,42.731521,-71.605841,2016-04-29,14.0080092685544,120,"(118,128]",3,2016-04-27,2016-05-07
"oro161307","EPS",1.2,"oro16","sample","5/6/16",19,43.206489,-71.364058,2016-05-06,14.3335066133431,127,"(118,128]",3,2016-04-27,2016-05-07
"oro161726","HOL",4.1,"oro16","sample","5/4/16",19,43.7348,-71.59076,2016-05-04,14.2937004575447,125,"(118,128]",3,2016-04-27,2016-05-07
"oro161727","HOL",4.1,"oro16","sample","5/4/16",19,43.7348,-71.59076,2016-05-04,14.2937004575447,125,"(118,128]",3,2016-04-27,2016-05-07
"oro160406","MAP",4.2,"oro16","sample","4/29/16",18,42.72248,-71.606722,2016-04-29,14.0073862503015,120,"(118,128]",3,2016-04-27,2016-05-07
"oro160556","BRN",4.2,"oro16","sample","4/29/16",18,42.731521,-71.605841,2016-04-29,14.0080092685544,120,"(118,128]",3,2016-04-27,2016-05-07
"oro160557","BRN",4.2,"oro16","sample","4/29/16",18,42.731521,-71.605841,2016-04-29,14.0080092685544,120,"(118,128]",3,2016-04-27,2016-05-07
"oro162129","HOP",1.2,"oro16","sample","5/1/16",18,43.155838,-71.727587,2016-05-01,14.1229237346523,122,"(118,128]",3,2016-04-27,2016-05-07
"oro162122","HOP",1.2,"oro16","sample","5/1/16",18,43.155838,-71.727587,2016-05-01,14.1229237346523,122,"(118,128]",3,2016-04-27,2016-05-07
"oro162125","HOP",1.2,"oro16","sample","5/1/16",18,43.155838,-71.727587,2016-05-01,14.1229237346523,122,"(118,128]",3,2016-04-27,2016-05-07
"oro162219","FOX",4.1,"oro16","sample","4/28/16",18,43.137939,-71.912814,2016-04-28,13.9929767416048,119,"(118,128]",3,2016-04-27,2016-05-07
"oro162133","HOP",1.2,"oro16","sample","5/6/16",19,43.155838,-71.727587,2016-05-06,14.3293999803519,127,"(118,128]",3,2016-04-27,2016-05-07
"oro160007","HOP",1.2,"oro16","sample","5/6/16",19,43.155838,-71.727587,2016-05-06,14.3293999803519,127,"(118,128]",3,2016-04-27,2016-05-07
"oro160400","MAP",4.2,"oro16","sample","4/29/16",18,42.72248,-71.606722,2016-04-29,14.0073862503015,120,"(118,128]",3,2016-04-27,2016-05-07
"oro161306","EPS",1.2,"oro16","sample","5/6/16",19,43.206489,-71.364058,2016-05-06,14.3335066133431,127,"(118,128]",3,2016-04-27,2016-05-07
"oro160403","MAP",4.2,"oro16","sample","4/29/16",18,42.72248,-71.606722,2016-04-29,14.0073862503015,120,"(118,128]",3,2016-04-27,2016-05-07
"oro160404","MAP",4.2,"oro16","sample","4/29/16",18,42.72248,-71.606722,2016-04-29,14.0073862503015,120,"(118,128]",3,2016-04-27,2016-05-07
"oro161298","EPS",1.2,"oro16","sample","5/6/16",19,43.206489,-71.364058,2016-05-06,14.3335066133431,127,"(118,128]",3,2016-04-27,2016-05-07
"oro160407","MAP",4.2,"oro16","sample","4/29/16",18,42.72248,-71.606722,2016-04-29,14.0073862503015,120,"(118,128]",3,2016-04-27,2016-05-07
"oro161301","EPS",1.2,"oro16","sample","5/6/16",19,43.206489,-71.364058,2016-05-06,14.3335066133431,127,"(118,128]",3,2016-04-27,2016-05-07
"oro160554","BRN",4.2,"oro16","sample","4/29/16",18,42.731521,-71.605841,2016-04-29,14.0080092685544,120,"(118,128]",3,2016-04-27,2016-05-07
"oro160003","HOP",1.2,"oro16","sample","5/6/16",19,43.155838,-71.727587,2016-05-06,14.3293999803519,127,"(118,128]",3,2016-04-27,2016-05-07
"oro161304","EPS",1.2,"oro16","sample","5/6/16",19,43.206489,-71.364058,2016-05-06,14.3335066133431,127,"(118,128]",3,2016-04-27,2016-05-07
"oro160005","HOP",1.2,"oro16","sample","5/6/16",19,43.155838,-71.727587,2016-05-06,14.3293999803519,127,"(118,128]",3,2016-04-27,2016-05-07
"oro161305","EPS",1.2,"oro16","sample","5/6/16",19,43.206489,-71.364058,2016-05-06,14.3335066133431,127,"(118,128]",3,2016-04-27,2016-05-07
"oro161729","HOL",4.1,"oro16","sample","5/4/16",19,43.7348,-71.59076,2016-05-04,14.2937004575447,125,"(118,128]",3,2016-04-27,2016-05-07
"oro160008","HOP",1.2,"oro16","sample","5/6/16",19,43.155838,-71.727587,2016-05-06,14.3293999803519,127,"(118,128]",3,2016-04-27,2016-05-07
"oro162208","FOX",4.1,"oro16","sample","4/28/16",18,43.137939,-71.912814,2016-04-28,13.9929767416048,119,"(118,128]",3,2016-04-27,2016-05-07
"oro160010","HOP",1.2,"oro16","sample","5/6/16",19,43.155838,-71.727587,2016-05-06,14.3293999803519,127,"(118,128]",3,2016-04-27,2016-05-07
"oro162210","FOX",4.1,"oro16","sample","4/28/16",18,43.137939,-71.912814,2016-04-28,13.9929767416048,119,"(118,128]",3,2016-04-27,2016-05-07
"oro162216","FOX",4.1,"oro16","sample","4/28/16",18,43.137939,-71.912814,2016-04-28,13.9929767416048,119,"(118,128]",3,2016-04-27,2016-05-07
"oro161299","EPS",1.2,"oro16","sample","5/6/16",19,43.206489,-71.364058,2016-05-06,14.3335066133431,127,"(118,128]",3,2016-04-27,2016-05-07
"oro161300","EPS",1.2,"oro16","sample","5/6/16",19,43.206489,-71.364058,2016-05-06,14.3335066133431,127,"(118,128]",3,2016-04-27,2016-05-07
"oro160001","HOP",1.2,"oro16","sample","5/6/16",19,43.155838,-71.727587,2016-05-06,14.3293999803519,127,"(118,128]",3,2016-04-27,2016-05-07
"oro161302","EPS",1.2,"oro16","sample","5/6/16",19,43.206489,-71.364058,2016-05-06,14.3335066133431,127,"(118,128]",3,2016-04-27,2016-05-07
"oro160004","HOP",1.2,"oro16","sample","5/6/16",19,43.155838,-71.727587,2016-05-06,14.3293999803519,127,"(118,128]",3,2016-04-27,2016-05-07
"oro160398","MAP",4.2,"oro16","sample","4/29/16",18,42.72248,-71.606722,2016-04-29,14.0073862503015,120,"(118,128]",3,2016-04-27,2016-05-07
"oro160006","HOP",1.2,"oro16","sample","5/6/16",19,43.155838,-71.727587,2016-05-06,14.3293999803519,127,"(118,128]",3,2016-04-27,2016-05-07
"oro162128","HOP",1.2,"oro16","sample","5/1/16",18,43.155838,-71.727587,2016-05-01,14.1229237346523,122,"(118,128]",3,2016-04-27,2016-05-07
"oro161730","HOL",4.1,"oro16","sample","5/4/16",19,43.7348,-71.59076,2016-05-04,14.2937004575447,125,"(118,128]",3,2016-04-27,2016-05-07
"oro160009","HOP",1.2,"oro16","sample","5/6/16",19,43.155838,-71.727587,2016-05-06,14.3293999803519,127,"(118,128]",3,2016-04-27,2016-05-07
"oro162126","HOP",1.2,"oro16","sample","5/1/16",18,43.155838,-71.727587,2016-05-01,14.1229237346523,122,"(118,128]",3,2016-04-27,2016-05-07
"oro161725","HOL",4.1,"oro16","sample","5/4/16",19,43.7348,-71.59076,2016-05-04,14.2937004575447,125,"(118,128]",3,2016-04-27,2016-05-07
"oro162209","FOX",4.1,"oro16","sample","4/28/16",18,43.137939,-71.912814,2016-04-28,13.9929767416048,119,"(118,128]",3,2016-04-27,2016-05-07
"oro162217","FOX",4.1,"oro16","sample","4/28/16",18,43.137939,-71.912814,2016-04-28,13.9929767416048,119,"(118,128]",3,2016-04-27,2016-05-07
"oro162218","FOX",4.1,"oro16","sample","4/28/16",18,43.137939,-71.912814,2016-04-28,13.9929767416048,119,"(118,128]",3,2016-04-27,2016-05-07
"oro162130","HOP",1.2,"oro16","sample","5/1/16",18,43.155838,-71.727587,2016-05-01,14.1229237346523,122,"(118,128]",3,2016-04-27,2016-05-07
"oro162127","HOP",1.2,"oro16","sample","5/1/16",18,43.155838,-71.727587,2016-05-01,14.1229237346523,122,"(118,128]",3,2016-04-27,2016-05-07
"oro161303","EPS",1.2,"oro16","sample","5/6/16",19,43.206489,-71.364058,2016-05-06,14.3335066133431,127,"(118,128]",3,2016-04-27,2016-05-07
"oro161723","HOL",4.1,"oro16","sample","5/4/16",19,43.7348,-71.59076,2016-05-04,14.2937004575447,125,"(118,128]",3,2016-04-27,2016-05-07
"oro160399","MAP",4.2,"oro16","sample","4/29/16",18,42.72248,-71.606722,2016-04-29,14.0073862503015,120,"(118,128]",3,2016-04-27,2016-05-07
"oro161728","HOL",4.1,"oro16","sample","5/4/16",19,43.7348,-71.59076,2016-05-04,14.2937004575447,125,"(118,128]",3,2016-04-27,2016-05-07
"oro162123","HOP",1.2,"oro16","sample","5/1/16",18,43.155838,-71.727587,2016-05-01,14.1229237346523,122,"(118,128]",3,2016-04-27,2016-05-07
"oro161731","HOL",4.1,"oro16","sample","5/4/16",19,43.7348,-71.59076,2016-05-04,14.2937004575447,125,"(118,128]",3,2016-04-27,2016-05-07
"oro162124","HOP",1.2,"oro16","sample","5/1/16",18,43.155838,-71.727587,2016-05-01,14.1229237346523,122,"(118,128]",3,2016-04-27,2016-05-07
"oro162131","HOP",1.2,"oro16","sample","5/1/16",18,43.155838,-71.727587,2016-05-01,14.1229237346523,122,"(118,128]",3,2016-04-27,2016-05-07
"oro160405","MAP",4.2,"oro16","sample","4/29/16",18,42.72248,-71.606722,2016-04-29,14.0073862503015,120,"(118,128]",3,2016-04-27,2016-05-07
"oro160396","MAP",4.2,"oro16","sample","4/29/16",18,42.72248,-71.606722,2016-04-29,14.0073862503015,120,"(118,128]",3,2016-04-27,2016-05-07
"oro160401","MAP",4.2,"oro16","sample","4/29/16",18,42.72248,-71.606722,2016-04-29,14.0073862503015,120,"(118,128]",3,2016-04-27,2016-05-07
