Order,Family,Genus,ASVs,Sites,CollectionWindows,Samples
Diptera,Tipulidae,Nephrotoma,29,13,23,56
Ephemeroptera,Ephemeridae,Hexagenia,29,16,28,204
Ephemeroptera,Heptageniidae,Stenacron,28,14,25,131
Trichoptera,Phryganeidae,Agrypnia,28,12,18,61
Diptera,Bombyliidae,Lepidophora,27,18,22,100
Diptera,Chironomidae,Tanytarsus,27,6,12,24
Diptera,Limoniidae,Cheilotrichia,27,10,14,42
Diptera,Tabanidae,Tabanus,27,14,21,81
Hymenoptera,Ichneumonidae,Enicospilus,27,15,21,97
Ephemeroptera,Caenidae,Caenis,26,15,26,122
Lepidoptera,Tortricidae,Acleris,26,13,18,34
Lepidoptera,Tortricidae,Epinotia,26,15,19,49
Coleoptera,Chrysomelidae,Paria,25,18,23,87
Diptera,Limoniidae,Epiphragma,25,14,13,64
Ephemeroptera,Heptageniidae,Leucrocuta,25,12,16,39
Lepidoptera,Crambidae,Crambus,24,18,20,104
Lepidoptera,Gelechiidae,Coleotechnites,24,9,10,26
Lepidoptera,Tortricidae,NA,24,19,27,245
Blattodea,Blattidae,Periplaneta,23,17,21,71
Diptera,Limoniidae,Antocha,23,11,15,37
Coleoptera,Cerambycidae,Monochamus,22,15,22,83
Diptera,Culicidae,NA,22,12,16,60
Ephemeroptera,Ephemerellidae,Eurylophella,22,12,12,61
Lepidoptera,Blastobasidae,Asaphocrita,22,18,19,120
Trichoptera,Limnephilidae,Pycnopsyche,22,7,7,27
Araneae,Philodromidae,Philodromus,21,14,24,84
Diptera,Chaoboridae,NA,21,7,13,27
Lepidoptera,Tortricidae,Cenopis,21,14,19,69
Diptera,Empididae,NA,20,10,13,28
Diptera,Fanniidae,Fannia,20,11,14,76
Diptera,Tipulidae,NA,20,15,14,33
Lepidoptera,Tortricidae,Pandemis,20,14,16,38
Trichoptera,Limnephilidae,Platycentropus,20,18,26,150
Trichoptera,Phryganeidae,Phryganea,20,12,19,71
Coleoptera,Pyrochroidae,Neopyrochroa,19,12,15,54
Diptera,Chironomidae,Polypedilum,19,5,11,27
Lepidoptera,Depressariidae,Machimia,19,8,9,29
Lepidoptera,Tortricidae,Cydia,19,15,18,60
Trichoptera,Hydropsychidae,Cheumatopsyche,19,9,10,21
Megaloptera,Sialidae,Sialis,18,4,6,21
Trichoptera,Leptoceridae,Ceraclea,18,10,12,21
Trichoptera,Limnephilidae,Limnephilus,18,10,10,42
Coleoptera,Cerambycidae,Sternidius,17,10,13,27
Diptera,Chironomidae,Microtendipes,17,11,17,65
Diptera,Limoniidae,Metalimnobia,17,10,12,27
Hemiptera,Cicadidae,NA,17,8,9,21
Hemiptera,Miridae,Phytocoris,17,12,9,26
Hymenoptera,Ichneumonidae,NA,17,9,13,22
Hymenoptera,Ichneumonidae,Ophion,17,12,13,23
Lepidoptera,Tortricidae,Ancylis,17,11,15,37
Lepidoptera,Tortricidae,Olethreutes,17,16,22,135
Coleoptera,Scarabaeidae,NA,16,16,25,136
Trichoptera,Leptoceridae,Triaenodes,16,9,13,24
Coleoptera,Carabidae,Harpalus,15,9,9,17
Coleoptera,Hydrophilidae,Hydrochara,15,16,22,67
Diptera,Chironomidae,Ablabesmyia,15,3,10,20
Diptera,Psychodidae,NA,15,8,9,26
Diptera,Simuliidae,Cnephia,15,6,6,31
Lepidoptera,Tortricidae,Choristoneura,15,11,12,20
Coleoptera,Carabidae,NA,14,9,9,19
Diptera,Ceratopogonidae,NA,14,9,12,23
Lepidoptera,Gelechiidae,Chionodes,14,6,6,18
Lepidoptera,Gelechiidae,Pseudotelphusa,14,8,10,20
Lepidoptera,Tortricidae,Eucopina,14,9,10,17
Lepidoptera,Tortricidae,Gretchena,14,16,26,156
Trichoptera,Dipseudopsidae,Phylocentropus,14,5,12,44
Araneae,Araneidae,Araneus,13,16,24,64
Coleoptera,Carabidae,Cymindis,13,12,23,62
Coleoptera,Curculionidae,Dendroctonus,13,9,8,42
Coleoptera,Dytiscidae,Ilybius,13,11,19,34
Coleoptera,Silphidae,Nicrophorus,13,11,18,35
Diptera,Psychodidae,Psychoda,13,12,17,28
Lepidoptera,Erebidae,NA,13,6,7,14
Lepidoptera,Noctuidae,Amphipyra,13,12,19,109
Coleoptera,Hydrophilidae,Enochrus,12,5,6,10
Coleoptera,Scirtidae,Contacyphon,12,9,15,37
Diptera,Pipunculidae,Nephrocerus,12,11,13,49
Ephemeroptera,Polymitarcyidae,Ephoron,12,6,9,49
Lepidoptera,Blastobasidae,Blastobasis,12,11,15,30
Lepidoptera,Tortricidae,Phtheochroa,12,4,5,15
Blattodea,Ectobiidae,Parcoblatta,11,18,22,122
Coleoptera,Brentidae,Arrhenodes,11,12,12,39
Coleoptera,Dytiscidae,Dytiscus,11,8,8,23
Coleoptera,Lucanidae,Ceruchus,11,9,8,21
Coleoptera,Scarabaeidae,Exomala,11,10,8,17
Diptera,Limoniidae,Rhipidia,11,9,12,41
Hemiptera,Aphrophoridae,Aphrophora,11,13,10,22
Lepidoptera,Tineidae,Acrolophus,11,10,9,22
Lepidoptera,Tortricidae,Catastega,11,9,7,17
Lepidoptera,Tortricidae,Clepsis,11,6,7,15
Lepidoptera,Tortricidae,Sparganothis,11,10,15,23
Araneae,Clubionidae,Clubiona,10,9,14,36
Araneae,Tetragnathidae,Tetragnatha,10,10,13,26
Coleoptera,Coccinellidae,Myzia,10,6,9,14
Coleoptera,Tenebrionidae,Hymenorus,10,13,15,43
Diptera,Keroplatidae,NA,10,6,9,21
Diptera,Limoniidae,Euphylidorea,10,5,7,15
Diptera,Tabanidae,Chrysops,10,7,4,12
Hemiptera,Miridae,Deraeocoris,10,8,13,46
Hemiptera,Miridae,Pilophorus,10,8,12,25
Lepidoptera,Depressariidae,Antaeotricha,10,6,6,11
Lepidoptera,Gelechiidae,Xenolechia,10,13,11,38
Lepidoptera,Lasiocampidae,Tolype,10,6,9,65
Lepidoptera,Noctuidae,Anathix,10,7,6,13
Trichoptera,Leptoceridae,Oecetis,10,7,9,13
Coleoptera,Carabidae,Amara,9,11,13,28
Diptera,Rhagionidae,Chrysopilus,9,12,14,25
Diptera,Tachinidae,Cryptomeigenia,9,6,4,12
Ephemeroptera,Leptophlebiidae,Choroterpes,9,8,8,23
Hemiptera,Cicadellidae,Oncopsis,9,6,11,20
Hemiptera,Lygaeidae,Kleidocerys,9,3,3,11
Hemiptera,Miridae,Neolygus,9,9,9,16
Lepidoptera,Drepanidae,Pseudothyatira,9,3,2,11
Lepidoptera,Geometridae,NA,9,7,9,13
Lepidoptera,Noctuidae,Agrotis,9,7,8,13
Araneae,Araneidae,Eustala,8,8,15,22
Coleoptera,Cantharidae,Rhagonycha,8,7,8,13
Coleoptera,Hydrophilidae,Helocombus,8,13,17,50
Coleoptera,Lucanidae,Macrodorcas,8,2,3,5
Diptera,Chironomidae,Pseudochironomus,8,8,12,49
Diptera,Culicidae,Coquillettidia,8,8,7,13
Diptera,Limoniidae,Elephantomyia,8,4,5,9
Ephemeroptera,Heptageniidae,Stenonema,8,11,16,164
Lepidoptera,Blastobasidae,Hypatopa,8,10,11,24
Lepidoptera,Blastobasidae,Pigritia,8,4,5,9
Lepidoptera,Crambidae,NA,8,6,6,8
Lepidoptera,Geometridae,Besma,8,5,8,12
Lepidoptera,Geometridae,Macaria,8,3,4,10
Lepidoptera,Limacodidae,Tortricidia,8,15,13,44
Lepidoptera,Noctuidae,Eupsilia,8,4,4,10
Lepidoptera,Sesiidae,Synanthedon,8,14,14,47
Lepidoptera,Tortricidae,Cnephasia,8,3,4,9
Lepidoptera,Tortricidae,Retinia,8,6,9,21
Trichoptera,Goeridae,Goera,8,3,7,16
Coleoptera,Elateridae,Ampedus,7,4,5,5
Coleoptera,Scarabaeidae,Amphimallon,7,6,7,14
Coleoptera,Tenebrionidae,Isomira,7,6,7,8
Diptera,Chironomidae,Tribelos,7,3,3,8
Diptera,Chironomidae,Trichochilus,7,1,4,9
Diptera,Culicidae,Culiseta,7,8,12,20
Diptera,Limoniidae,Molophilus,7,5,7,13
Diptera,Mycetophilidae,Mycomya,7,4,7,20
Diptera,Sciaridae,Cratyna,7,3,4,9
Hymenoptera,Vespidae,Polistes,7,4,6,7
Lepidoptera,Depressariidae,Nites,7,9,11,23
Lepidoptera,Limacodidae,Apoda,7,4,4,7
Lepidoptera,Tortricidae,Amorbia,7,4,4,7
Lepidoptera,Tortricidae,Eucosma,7,4,3,7
Coleoptera,Cerambycidae,Centrodera,6,6,7,12
Coleoptera,Cerambycidae,Ecyrus,6,6,5,6
Coleoptera,Geotrupidae,Geotrupes,6,5,6,7
Diptera,Chironomidae,Orthocladius,6,3,6,11
Diptera,Culicidae,Culex,6,4,5,13
Diptera,Limoniidae,Limonia,6,3,5,6
Diptera,Mycetophilidae,Leia,6,9,12,31
Hymenoptera,Braconidae,NA,6,5,6,7
Hymenoptera,Ichneumonidae,Euceros,6,5,9,32
Lepidoptera,Depressariidae,Agonopterix,6,9,14,136
Lepidoptera,Sphingidae,Eumorpha,6,1,1,8
Lepidoptera,Tortricidae,Dichrorampha,6,2,2,2
Lepidoptera,Tortricidae,Pelochrista,6,2,2,7
Psocodea,Psocidae,Trichadenotecnum,6,4,8,14
Trichoptera,Philopotamidae,Chimarra,6,11,17,30
Trichoptera,Phryganeidae,Ptilostomis,6,4,6,8
Araneae,Theridiidae,Theridion,5,2,6,7
Coleoptera,Cerambycidae,Graphisurus,5,3,4,4
Coleoptera,Cerambycidae,Urgleptes,5,5,5,5
Coleoptera,Psephenidae,Ectopria,5,6,8,15
Coleoptera,Scarabaeidae,Labarrus,5,12,13,120
Coleoptera,Scarabaeidae,Serica,5,3,5,6
Diptera,Chironomidae,Cricotopus,5,3,5,8
Diptera,Chironomidae,Dicrotendipes,5,4,5,6
Diptera,Drosophilidae,Drosophila,5,11,18,83
Diptera,Limoniidae,Ormosia,5,5,5,10
Diptera,Simuliidae,Simulium,5,4,4,5
Diptera,Tachinidae,Eulasiona,5,2,2,2
Ephemeroptera,Ephemeridae,Ephemera,5,6,7,19
Hemiptera,Miridae,Stenotus,5,10,11,15
Hemiptera,Pentatomidae,Banasa,5,8,14,31
Lepidoptera,Blastobasidae,Holcocera,5,5,4,6
Lepidoptera,Tischeriidae,Coptotriche,5,6,8,11
Lepidoptera,Tortricidae,Platynota,5,4,4,4
Lepidoptera,Yponomeutidae,Swammerdamia,5,2,3,6
Neuroptera,Mantispidae,Dicromantispa,5,4,4,6
Araneae,Lycosidae,Pirata,4,7,7,9
Araneae,Lycosidae,Trebacosa,4,2,3,5
Araneae,Theridiidae,Euryopis,4,7,8,15
Blattodea,Rhinotermitidae,Reticulitermes,4,6,6,8
Coleoptera,Carabidae,Agonum,4,5,4,5
Coleoptera,Carabidae,Notiobia,4,3,4,5
Coleoptera,Carabidae,Stenolophus,4,4,3,4
Coleoptera,Carabidae,Trichotichnus,4,3,3,4
Coleoptera,Cerambycidae,Astylopsis,4,1,1,2
Coleoptera,Hydrophilidae,Berosus,4,4,4,4
Coleoptera,Hydrophilidae,Cercyon,4,6,5,6
Coleoptera,Ptilodactylidae,Ptilodactyla,4,2,3,7
Diptera,Ceratopogonidae,Palpomyia,4,3,3,4
Diptera,Chironomidae,Diamesa,4,4,4,6
Diptera,Chironomidae,Eukiefferiella,4,1,2,5
Diptera,Drosophilidae,Scaptomyza,4,3,3,4
Diptera,Milichiidae,Leptometopa,4,2,2,2
Diptera,Mycetophilidae,Mycetophila,4,5,5,6
Diptera,Pediciidae,NA,4,4,6,6
Diptera,Tachinidae,NA,4,6,7,14
Diptera,Tachinidae,Eutrixa,4,3,4,7
Diptera,Tachinidae,Gonia,4,5,7,14
Ephemeroptera,Ephemerellidae,Serratella,4,3,6,9
Hemiptera,Cicadellidae,Ponana,4,5,8,8
Hemiptera,Miridae,Blepharidopterus,4,5,11,23
Hemiptera,Miridae,Lygus,4,6,4,6
Hymenoptera,Cynipidae,NA,4,1,3,3
Hymenoptera,Formicidae,Lasius,4,4,4,9
Lepidoptera,Crambidae,Microcrambus,4,2,3,3
Lepidoptera,Depressariidae,Semioscopis,4,4,4,5
Lepidoptera,Erebidae,Hypena,4,4,3,4
Lepidoptera,Erebidae,Lymantria,4,4,5,6
Lepidoptera,Gelechiidae,NA,4,4,4,10
Lepidoptera,Gelechiidae,Carpatolechia,4,4,4,4
Lepidoptera,Geometridae,Cladara,4,3,3,4
Lepidoptera,Geometridae,Eulithis,4,5,7,14
Lepidoptera,Limacodidae,Packardia,4,7,8,34
Lepidoptera,Saturniidae,NA,4,4,6,9
Lepidoptera,Sphingidae,NA,4,4,6,6
Lepidoptera,Tortricidae,Aethes,4,2,2,4
Lepidoptera,Tortricidae,Apotomis,4,11,12,18
Trichoptera,Lepidostomatidae,Lepidostoma,4,3,5,8
Trichoptera,Limnephilidae,Nemotaulius,4,4,5,8
Araneae,Araneidae,Larinioides,3,2,2,3
Araneae,Dictynidae,Dictyna,3,3,3,6
Coleoptera,Carabidae,Amphasia,3,5,6,7
Coleoptera,Carabidae,Chlaenius,3,6,5,8
Coleoptera,Cerambycidae,NA,3,2,2,2
Coleoptera,Cerambycidae,Goes,3,4,7,8
Coleoptera,Chrysomelidae,Plagiometriona,3,1,1,1
Coleoptera,Dermestidae,Dermestes,3,1,1,1
Coleoptera,Dytiscidae,Coptotomus,3,3,3,3
Coleoptera,Elateridae,NA,3,3,3,3
Coleoptera,Elateridae,Cardiophorus,3,6,6,9
Coleoptera,Geotrupidae,Odonteus,3,4,5,9
Coleoptera,Gyrinidae,Gyrinus,3,3,3,3
Coleoptera,Mycetophagidae,Litargus,3,5,5,5
Coleoptera,Oedemeridae,NA,3,3,3,3
Coleoptera,Scarabaeidae,Maladera,3,19,30,733
Coleoptera,Silphidae,Necrodes,3,4,3,4
Coleoptera,Synchroidae,Synchroa,3,3,3,4
Coleoptera,Tenebrionidae,Capnochroa,3,11,10,27
Diptera,Anisopodidae,Sylvicola,3,6,7,10
Diptera,Ceratopogonidae,Atrichopogon,3,4,4,5
Diptera,Chironomidae,Brillia,3,3,4,8
Diptera,Chironomidae,Paratendipes,3,2,3,4
Diptera,Chironomidae,Phaenopsectra,3,4,6,9
Diptera,Chironomidae,Xenochironomus,3,3,3,3
Diptera,Drosophilidae,Chymomyza,3,3,2,3
Diptera,Empididae,Rhamphomyia,3,2,3,3
Diptera,Limoniidae,Discobola,3,2,2,3
Diptera,Limoniidae,Symplecta,3,2,2,3
Diptera,Mycetophilidae,Greenomyia,3,2,2,4
Diptera,Sciaridae,Pseudolycoriella,3,1,1,1
Diptera,Sphaeroceridae,Coproica,3,2,3,3
Diptera,Tachinidae,Lespesia,3,2,2,2
Hemiptera,Aphididae,NA,3,6,5,6
Hemiptera,Derbidae,Patara,3,4,4,8
Hemiptera,Flatidae,NA,3,8,6,9
Hemiptera,Pentatomidae,NA,3,3,2,3
Hymenoptera,Ichneumonidae,Netelia,3,6,7,18
Hymenoptera,Perilampidae,Perilampus,3,3,3,3
Lepidoptera,Autostichidae,Taygete,3,3,3,4
Lepidoptera,Carposinidae,Carposina,3,3,4,4
Lepidoptera,Crambidae,Scoparia,3,3,3,3
Lepidoptera,Crambidae,Udea,3,3,3,3
Lepidoptera,Erebidae,Hyphantria,3,3,3,3
Lepidoptera,Gelechiidae,Neotelphusa,3,2,2,3
Lepidoptera,Geometridae,Eufidonia,3,5,7,7
Lepidoptera,Geometridae,Protoboarmia,3,6,7,11
Lepidoptera,Geometridae,Venusia,3,1,1,1
Lepidoptera,Geometridae,Xanthorhoe,3,3,3,3
Lepidoptera,Gracillariidae,Cameraria,3,2,4,4
Lepidoptera,Oecophoridae,Epicallima,3,5,5,10
Lepidoptera,Pterophoridae,Geina,3,1,1,1
Lepidoptera,Tineidae,Homosetia,3,1,3,3
Lepidoptera,Tineidae,Nemapogon,3,3,3,3
Lepidoptera,Tortricidae,Gypsonoma,3,4,4,4
Neuroptera,Hemerobiidae,Wesmaelius,3,3,1,3
Trichoptera,Rhyacophilidae,Rhyacophila,3,2,2,3
Araneae,Agelenidae,Coras,2,2,2,2
Araneae,Araneidae,NA,2,2,2,2
Araneae,Linyphiidae,NA,2,3,3,3
Araneae,Linyphiidae,Pityohyphantes,2,4,7,11
Araneae,Theridiidae,Wamba,2,1,1,1
Blattodea,Blattidae,Blatta,2,2,2,2
Blattodea,Ectobiidae,NA,2,7,7,15
Blattodea,Ectobiidae,Ectobius,2,2,2,2
Coleoptera,Cantharidae,Podabrus,2,2,2,2
Coleoptera,Cantharidae,Silis,2,4,3,5
Coleoptera,Carabidae,Calosoma,2,3,4,5
Coleoptera,Carabidae,Lebia,2,4,4,6
Coleoptera,Carabidae,Platynus,2,4,4,5
Coleoptera,Carabidae,Selenophorus,2,2,2,6
Coleoptera,Carabidae,Sphaerostylus,2,1,2,2
Coleoptera,Cerambycidae,Elaphidion,2,3,3,3
Coleoptera,Cerambycidae,Enaphalodes,2,3,5,5
Coleoptera,Cleridae,Placopterus,2,1,2,2
Coleoptera,Coccinellidae,Chilocorus,2,1,1,1
Coleoptera,Elateridae,Dolerosomus,2,8,8,29
Coleoptera,Hydrophilidae,Hydrophilus,2,7,8,14
Coleoptera,Lucanidae,NA,2,1,1,1
Coleoptera,Lycidae,Leptoceletes,2,3,3,3
Coleoptera,Melandryidae,Phloiotrya,2,4,4,5
Coleoptera,Ptinidae,Oligomerus,2,4,3,7
Coleoptera,Scirtidae,Scirtes,2,2,2,2
Coleoptera,Scraptiidae,Canifa,2,1,1,2
Coleoptera,Staphylinidae,Acidota,2,1,1,2
Diptera,Calliphoridae,Pollenia,2,3,7,12
Diptera,Ceratopogonidae,Bezzia,2,1,1,2
Diptera,Ceratopogonidae,Sphaeromias,2,2,2,2
Diptera,Chironomidae,Cryptochironomus,2,2,3,3
Diptera,Chironomidae,Heterotrissocladius,2,1,1,2
Diptera,Chironomidae,Parachironomus,2,2,2,2
Diptera,Dolichopodidae,Gymnopternus,2,2,2,4
Diptera,Limoniidae,Cladura,2,2,2,3
Diptera,Limoniidae,Dicranophragma,2,1,1,1
Diptera,Muscidae,Helina,2,3,4,6
Diptera,Muscidae,Phaonia,2,2,2,2
Diptera,Pediciidae,Pedicia,2,2,2,2
Diptera,Phoridae,Megaselia,2,1,2,2
Diptera,Psychodidae,PschodididGC,2,2,2,2
Diptera,Sciaridae,NA,2,2,3,3
Diptera,Sciaridae,Schwenckfeldina,2,2,3,3
Diptera,Sphaeroceridae,Spelobia,2,2,2,2
Diptera,Stratiomyidae,Odontomyia,2,2,2,2
Diptera,Tachinidae,Senometopia,2,11,10,39
Ephemeroptera,Baetidae,Callibaetis,2,4,7,10
Ephemeroptera,Heptageniidae,Rhithrogena,2,1,3,6
Hemiptera,Cicadellidae,Macrosteles,2,3,3,3
Hemiptera,Cicadidae,Tibicen,2,3,3,4
Hemiptera,Cimicidae,Cimex,2,1,3,3
Hemiptera,Derbidae,Apache,2,2,3,3
Hemiptera,Miridae,Phoenicocoris,2,7,6,19
Hemiptera,Miridae,Stenodema,2,2,2,2
Hemiptera,Miridae,Tropidosteptes,2,4,5,5
Hemiptera,Phylloxeridae,Phylloxera,2,1,2,3
Hemiptera,Pyrrhocoridae,Dindymus,2,2,2,2
Hemiptera,Rhyparochromidae,Ozophora,2,7,11,21
Hymenoptera,Braconidae,Euphoriella,2,2,3,3
Hymenoptera,Formicidae,Formica,2,2,2,2
Hymenoptera,Ichneumonidae,Acrodactyla,2,1,2,2
Hymenoptera,Ichneumonidae,Ichneumon,2,4,3,4
Hymenoptera,Ichneumonidae,Opheltes,2,2,2,2
Lepidoptera,Anthelidae,Anthela,2,2,2,2
Lepidoptera,Bucculatricidae,Bucculatrix,2,2,2,2
Lepidoptera,Carposinidae,Bondia,2,2,3,3
Lepidoptera,Crambidae,Fissicrambus,2,2,2,3
Lepidoptera,Crambidae,Palpita,2,1,1,1
Lepidoptera,Erebidae,Catocala,2,2,2,2
Lepidoptera,Erebidae,Damias,2,1,1,2
Lepidoptera,Erebidae,Hyamia,2,2,2,2
Lepidoptera,Euteliidae,Eutelia,2,2,1,2
Lepidoptera,Gelechiidae,Dichomeris,2,3,3,3
Lepidoptera,Geometridae,Alsophila,2,2,2,2
Lepidoptera,Geometridae,Campaea,2,4,6,9
Lepidoptera,Geometridae,Coryphista,2,1,1,1
Lepidoptera,Geometridae,Euchlaena,2,2,2,2
Lepidoptera,Geometridae,Eupithecia,2,2,1,2
Lepidoptera,Geometridae,Eutrapela,2,2,2,2
Lepidoptera,Geometridae,Haematopis,2,2,2,2
Lepidoptera,Geometridae,Hypagyrtis,2,1,1,2
Lepidoptera,Geometridae,Lambdina,2,2,2,2
Lepidoptera,Geometridae,Metarranthis,2,3,3,4
Lepidoptera,Geometridae,Pachyplocia,2,1,1,1
Lepidoptera,Geometridae,Scopula,2,2,2,2
Lepidoptera,Gracillariidae,Phyllonorycter,2,2,2,2
Lepidoptera,Hepialidae,Korscheltellus,2,3,2,3
Lepidoptera,Hepialidae,Sthenopis,2,4,4,4
Lepidoptera,Limacodidae,Euclea,2,2,2,2
Lepidoptera,Noctuidae,NA,2,2,2,2
Lepidoptera,Noctuidae,Apamea,2,2,2,2
Lepidoptera,Notodontidae,NA,2,2,2,2
Lepidoptera,Plutellidae,Plutella,2,1,1,2
Lepidoptera,Pyralidae,Acrobasis,2,2,2,2
Lepidoptera,Pyralidae,Pyralis,2,3,3,3
Lepidoptera,Sphingidae,Ceratomia,2,1,1,1
Lepidoptera,Sphingidae,Paonias,2,2,2,3
Lepidoptera,Sphingidae,Sphinx,2,1,2,2
Lepidoptera,Tineidae,Pelecystola,2,1,1,1
Lepidoptera,Tineidae,Scardiella,2,4,2,4
Lepidoptera,Tineidae,Xylesthia,2,2,2,3
Lepidoptera,Tortricidae,Gymnandrosoma,2,2,2,2
Lepidoptera,Tortricidae,Syndemis,2,4,3,4
Neuroptera,Chrysopidae,Chrysopa,2,2,2,2
Neuroptera,Coniopterygidae,Coniopteryx,2,6,4,12
Neuroptera,Coniopterygidae,Conwentzia,2,1,4,12
Neuroptera,Hemerobiidae,Micromus,2,2,2,4
Psocodea,Dasydemellidae,Teliapsocus,2,2,3,3
Psocodea,Peripsocidae,Peripsocus,2,4,10,16
Psocodea,Psocidae,Loensia,2,3,4,6
Trichoptera,Hydroptilidae,Orthotrichia,2,3,3,3
Trichoptera,Leptoceridae,Nectopsyche,2,2,2,2
Trichoptera,Limnephilidae,NA,2,2,2,2
Trichoptera,Limnephilidae,Ironoquia,2,5,4,5
Trichoptera,Philopotamidae,Wormaldia,2,2,3,3
Trichoptera,Psychomyiidae,Psychomyia,2,2,2,2
Trichoptera,Thremmatidae,Neophylax,2,1,2,2
Araneae,Agelenidae,Agelenopsis,1,1,1,1
Araneae,Agelenidae,Wadotes,1,1,1,1
Araneae,Amaurobiidae,Callobius,1,1,1,1
Araneae,Araneidae,Neoscona,1,1,2,2
Araneae,Dictynidae,Emblyna,1,2,2,2
Araneae,Hahniidae,Cicurina,1,1,1,1
Araneae,Linyphiidae,Idionella,1,1,1,1
Araneae,Lycosidae,Arctosa,1,1,1,1
Araneae,Lycosidae,Piratula,1,1,1,1
Araneae,Tetragnathidae,Leucauge,1,1,1,1
Araneae,Theridiidae,NA,1,1,1,1
Araneae,Theridiidae,Dipoena,1,2,2,2
Araneae,Theridiidae,Neospintharus,1,2,2,2
Araneae,Theridiidae,Parasteatoda,1,1,1,1
Araneae,Theridiidae,Thymoites,1,1,1,1
Araneae,Theridiosomatidae,Theridiosoma,1,1,1,1
Araneae,Thomisidae,Xysticus,1,1,1,1
Blattodea,Ectobiidae,Supella,1,1,1,1
Coleoptera,Artematopodidae,Eurypogon,1,1,1,1
Coleoptera,Bostrichidae,Prostephanus,1,1,1,1
Coleoptera,Bostrichidae,Xylobiops,1,1,1,1
Coleoptera,Byrrhidae,Simplocaria,1,1,1,1
Coleoptera,Cantharidae,Dichelotarsus,1,1,1,1
Coleoptera,Carabidae,Badister,1,1,1,1
Coleoptera,Carabidae,Bradycellus,1,1,1,1
Coleoptera,Carabidae,Dromius,1,2,2,2
Coleoptera,Carabidae,Ophonus,1,1,1,1
Coleoptera,Cerambycidae,Aegomorphus,1,1,1,1
Coleoptera,Cerambycidae,Anelaphus,1,1,1,1
Coleoptera,Cerambycidae,Eupogonius,1,1,1,1
Coleoptera,Cerambycidae,Lepturges,1,1,1,1
Coleoptera,Cerambycidae,Prionus,1,1,1,1
Coleoptera,Cerambycidae,Saperda,1,1,1,1
Coleoptera,Chrysomelidae,Acalymma,1,1,1,1
Coleoptera,Chrysomelidae,Plagiodera,1,1,1,1
Coleoptera,Ciidae,Cis,1,2,2,2
Coleoptera,Cleridae,Cymatodera,1,1,1,1
Coleoptera,Cleridae,Neorthopleura,1,1,1,1
Coleoptera,Coccinellidae,Anatis,1,1,1,1
Coleoptera,Curculionidae,NA,1,1,1,2
Coleoptera,Curculionidae,Myosides,1,1,1,1
Coleoptera,Curculionidae,Xyleborus,1,1,1,1
Coleoptera,Dytiscidae,Colymbetes,1,1,1,1
Coleoptera,Elateridae,Limoniscus,1,1,1,2
Coleoptera,Elateridae,Pseudanostirus,1,2,2,3
Coleoptera,Heteroceridae,Heterocerus,1,1,1,1
Coleoptera,Hydrophilidae,NA,1,1,1,1
Coleoptera,Lampyridae,Ellychnia,1,1,1,1
Coleoptera,Latridiidae,Melanophthalma,1,1,1,1
Coleoptera,Melandryidae,NA,1,2,2,2
Coleoptera,Melyridae,Malachius,1,1,1,1
Coleoptera,Mycetophagidae,Typhaea,1,5,5,7
Coleoptera,Nitidulidae,NA,1,1,1,1
Coleoptera,Nitidulidae,Amphicrossus,1,1,1,1
Coleoptera,Phalacridae,Olibrus,1,1,1,1
