Order,Family,Genus,ASVs,Sites,CollectionWindows,Samples
Lepidoptera,Gelechiidae,Chionodes,10,6,5,12
Lepidoptera,Tineidae,Acrolophus,10,8,7,13
Lepidoptera,Tortricidae,Olethreutes,10,16,13,67
Trichoptera,Dipseudopsidae,Phylocentropus,10,3,8,29
Coleoptera,Tenebrionidae,Hymenorus,9,12,13,29
Diptera,Limoniidae,Metalimnobia,9,7,9,9
Diptera,Pipunculidae,Nephrocerus,9,10,9,27
Diptera,Psychodidae,Psychoda,9,10,11,17
Hemiptera,Aphrophoridae,Aphrophora,9,8,9,12
Hemiptera,Miridae,Deraeocoris,9,7,8,29
Lepidoptera,Blastobasidae,Blastobasis,9,8,8,18
Lepidoptera,Tortricidae,Ancylis,9,9,8,18
Lepidoptera,Tortricidae,Gretchena,9,14,19,73
Megaloptera,Sialidae,Sialis,9,2,3,8
Trichoptera,Limnephilidae,Limnephilus,9,6,6,20
Araneae,Tetragnathidae,Tetragnatha,8,6,8,15
Coleoptera,Dytiscidae,Dytiscus,8,7,6,14
Coleoptera,Hydrophilidae,Hydrochara,8,13,15,36
Coleoptera,Lucanidae,Macrodorcas,8,1,2,3
Coleoptera,Pyrochroidae,Neopyrochroa,8,10,10,25
Coleoptera,Scarabaeidae,Exomala,8,8,8,10
Diptera,Ceratopogonidae,NA,8,7,8,13
Diptera,Psychodidae,NA,8,4,5,12
Diptera,Rhagionidae,Chrysopilus,8,10,10,16
Ephemeroptera,Leptophlebiidae,Choroterpes,8,6,5,10
Lepidoptera,Gelechiidae,Pseudotelphusa,8,6,5,9
Lepidoptera,Noctuidae,Amphipyra,8,10,13,54
Blattodea,Ectobiidae,Parcoblatta,7,14,15,60
Coleoptera,Coccinellidae,Myzia,7,5,5,8
Coleoptera,Hydrophilidae,Helocombus,7,8,9,26
Coleoptera,Lucanidae,Ceruchus,7,6,5,11
Diptera,Chironomidae,Pseudochironomus,7,7,6,27
Diptera,Chironomidae,Trichochilus,7,1,4,8
Diptera,Mycetophilidae,Mycomya,7,4,7,13
Diptera,Tabanidae,Chrysops,7,5,3,7
Diptera,Tachinidae,Cryptomeigenia,7,6,3,10
Hemiptera,Lygaeidae,Kleidocerys,7,2,3,5
Hemiptera,Miridae,Neolygus,7,8,9,10
Hemiptera,Miridae,Pilophorus,7,6,6,10
Lepidoptera,Gelechiidae,Xenolechia,7,10,9,26
Lepidoptera,Lasiocampidae,Tolype,7,5,6,30
Lepidoptera,Tortricidae,Catastega,7,8,5,10
Lepidoptera,Tortricidae,Clepsis,7,6,6,9
Araneae,Clubionidae,Clubiona,6,8,11,24
Coleoptera,Carabidae,Amara,6,8,9,14
Coleoptera,Scirtidae,Contacyphon,6,6,8,15
Coleoptera,Tenebrionidae,Isomira,6,4,5,5
Diptera,Culicidae,Coquillettidia,6,8,6,10
Diptera,Culicidae,Culiseta,6,6,9,12
Diptera,Keroplatidae,NA,6,5,6,12
Diptera,Limoniidae,Elephantomyia,6,4,5,6
Diptera,Limoniidae,Limonia,6,3,4,5
Diptera,Limoniidae,Rhipidia,6,5,6,13
Diptera,Mycetophilidae,Leia,6,9,8,24
Hemiptera,Cicadellidae,Oncopsis,6,5,7,13
Hymenoptera,Braconidae,NA,6,5,5,6
Lepidoptera,Blastobasidae,Pigritia,6,3,3,4
Lepidoptera,Limacodidae,Tortricidia,6,13,10,25
Lepidoptera,Noctuidae,Anathix,6,4,3,7
Lepidoptera,Tortricidae,Eucopina,6,5,6,7
Lepidoptera,Tortricidae,Sparganothis,6,5,6,12
Trichoptera,Leptoceridae,Oecetis,6,4,6,7
Araneae,Araneidae,Eustala,5,6,7,9
Coleoptera,Brentidae,Arrhenodes,5,8,6,25
Coleoptera,Cerambycidae,Ecyrus,5,5,5,5
Coleoptera,Geotrupidae,Geotrupes,5,4,5,5
Coleoptera,Psephenidae,Ectopria,5,5,5,6
Coleoptera,Scarabaeidae,Labarrus,5,10,8,58
Diptera,Culicidae,Culex,5,4,4,7
Diptera,Limoniidae,Molophilus,5,4,7,8
Diptera,Simuliidae,Simulium,5,4,3,5
Ephemeroptera,Heptageniidae,Stenonema,5,11,11,77
Hymenoptera,Vespidae,Polistes,5,3,5,5
Lepidoptera,Blastobasidae,Hypatopa,5,8,6,14
Lepidoptera,Depressariidae,Agonopterix,5,7,8,55
Lepidoptera,Depressariidae,Antaeotricha,5,3,3,6
Lepidoptera,Drepanidae,Pseudothyatira,5,2,2,5
Lepidoptera,Geometridae,Besma,5,5,7,9
Lepidoptera,Tortricidae,Amorbia,5,3,4,5
Lepidoptera,Tortricidae,Retinia,5,4,5,9
Trichoptera,Goeridae,Goera,5,3,5,8
Trichoptera,Phryganeidae,Ptilostomis,5,4,6,6
Araneae,Theridiidae,Theridion,4,2,5,5
Coleoptera,Cantharidae,Rhagonycha,4,4,5,6
Coleoptera,Carabidae,Agonum,4,4,3,4
Coleoptera,Carabidae,Notiobia,4,3,5,5
Coleoptera,Carabidae,Trichotichnus,4,3,3,4
Coleoptera,Cerambycidae,Astylopsis,4,1,1,2
Coleoptera,Cerambycidae,Centrodera,4,3,4,7
Coleoptera,Cerambycidae,Graphisurus,4,3,3,3
Diptera,Chironomidae,Cricotopus,4,2,3,4
Diptera,Chironomidae,Dicrotendipes,4,4,5,5
Diptera,Chironomidae,Orthocladius,4,3,3,5
Diptera,Drosophilidae,Drosophila,4,5,10,34
Diptera,Limoniidae,Euphylidorea,4,3,4,4
Diptera,Milichiidae,Leptometopa,4,2,2,2
Diptera,Mycetophilidae,Mycetophila,4,4,4,4
Diptera,Sciaridae,Cratyna,4,3,3,4
Diptera,Tachinidae,Eutrixa,4,2,3,5
Ephemeroptera,Ephemerellidae,Serratella,4,2,5,6
Ephemeroptera,Ephemeridae,Ephemera,4,4,4,10
Hemiptera,Miridae,Lygus,4,4,3,4
Hymenoptera,Formicidae,Lasius,4,4,3,5
Hymenoptera,Ichneumonidae,Euceros,4,3,5,11
Lepidoptera,Crambidae,NA,4,4,4,4
Lepidoptera,Depressariidae,Semioscopis,4,4,3,5
Lepidoptera,Geometridae,NA,4,2,3,5
Lepidoptera,Limacodidae,Apoda,4,3,2,4
Lepidoptera,Limacodidae,Packardia,4,5,3,17
Lepidoptera,Noctuidae,Eupsilia,4,3,3,3
Lepidoptera,Sphingidae,Eumorpha,4,1,1,4
Lepidoptera,Tischeriidae,Coptotriche,4,4,5,6
Lepidoptera,Yponomeutidae,Swammerdamia,4,2,3,5
Neuroptera,Mantispidae,Dicromantispa,4,3,3,4
Trichoptera,Lepidostomatidae,Lepidostoma,4,3,5,7
Trichoptera,Philopotamidae,Chimarra,4,6,9,15
Araneae,Lycosidae,Pirata,3,5,4,6
Araneae,Theridiidae,Euryopis,3,6,5,6
Coleoptera,Carabidae,Chlaenius,3,5,4,7
Coleoptera,Cerambycidae,Goes,3,3,5,6
Coleoptera,Chrysomelidae,Plagiometriona,3,1,1,1
Coleoptera,Dytiscidae,Coptotomus,3,3,3,3
Coleoptera,Elateridae,NA,3,3,3,3
Coleoptera,Elateridae,Cardiophorus,3,3,4,5
Coleoptera,Geotrupidae,Odonteus,3,3,4,6
Coleoptera,Hydrophilidae,Cercyon,3,4,4,4
Coleoptera,Scarabaeidae,Maladera,3,18,21,325
Coleoptera,Scarabaeidae,Serica,3,2,3,3
Coleoptera,Silphidae,Necrodes,3,3,3,3
Coleoptera,Tenebrionidae,Capnochroa,3,8,6,17
Diptera,Ceratopogonidae,Palpomyia,3,2,2,3
Diptera,Chironomidae,Diamesa,3,3,3,5
Diptera,Chironomidae,Eukiefferiella,3,1,1,2
Diptera,Chironomidae,Paratendipes,3,1,1,3
Diptera,Chironomidae,Xenochironomus,3,3,3,3
Diptera,Sphaeroceridae,Coproica,3,2,3,3
Diptera,Tachinidae,NA,3,3,2,4
Hemiptera,Flatidae,NA,3,6,6,7
Hemiptera,Miridae,Blepharidopterus,3,4,9,19
Hemiptera,Miridae,Stenotus,3,5,4,7
Hemiptera,Pentatomidae,Banasa,3,7,8,16
Hymenoptera,Cynipidae,NA,3,1,1,1
Hymenoptera,Ichneumonidae,Netelia,3,6,7,14
Hymenoptera,Perilampidae,Perilampus,3,3,3,3
Lepidoptera,Autostichidae,Taygete,3,3,3,4
Lepidoptera,Carposinidae,Carposina,3,3,3,3
Lepidoptera,Crambidae,Scoparia,3,3,3,3
Lepidoptera,Depressariidae,Nites,3,3,4,5
Lepidoptera,Erebidae,Hypena,3,3,2,3
Lepidoptera,Erebidae,Lymantria,3,4,4,4
Lepidoptera,Geometridae,Protoboarmia,3,6,7,8
Lepidoptera,Gracillariidae,Cameraria,3,2,3,4
Lepidoptera,Noctuidae,Agrotis,3,2,3,3
Lepidoptera,Saturniidae,NA,3,4,3,6
Lepidoptera,Sesiidae,Synanthedon,3,10,7,24
Lepidoptera,Tortricidae,Cnephasia,3,2,2,4
Lepidoptera,Tortricidae,Platynota,3,3,3,3
Neuroptera,Hemerobiidae,Wesmaelius,3,3,1,3
Psocodea,Psocidae,Trichadenotecnum,3,2,3,9
Araneae,Araneidae,Larinioides,2,2,2,2
Araneae,Dictynidae,Dictyna,2,2,2,4
Araneae,Lycosidae,Trebacosa,2,1,2,2
Coleoptera,Cantharidae,Podabrus,2,2,2,2
Coleoptera,Cantharidae,Silis,2,4,2,5
Coleoptera,Carabidae,Amphasia,2,4,4,4
Coleoptera,Carabidae,Lebia,2,4,4,5
Coleoptera,Carabidae,Platynus,2,3,3,3
Coleoptera,Carabidae,Selenophorus,2,2,2,4
Coleoptera,Carabidae,Stenolophus,2,2,1,2
Coleoptera,Cerambycidae,NA,2,1,1,1
Coleoptera,Cerambycidae,Enaphalodes,2,3,4,4
Coleoptera,Cerambycidae,Urgleptes,2,2,2,2
Coleoptera,Cleridae,Placopterus,2,1,1,2
Coleoptera,Coccinellidae,Chilocorus,2,1,1,1
Coleoptera,Elateridae,Dolerosomus,2,4,4,10
Coleoptera,Hydrophilidae,Berosus,2,2,2,2
Coleoptera,Hydrophilidae,Hydrophilus,2,3,4,7
Coleoptera,Lucanidae,NA,2,1,1,1
Coleoptera,Melandryidae,Phloiotrya,2,4,3,4
Coleoptera,Ptinidae,Oligomerus,2,1,2,3
Coleoptera,Scarabaeidae,Amphimallon,2,3,2,3
Coleoptera,Scirtidae,Scirtes,2,2,2,2
Coleoptera,Synchroidae,Synchroa,2,2,2,2
Diptera,Anisopodidae,Sylvicola,2,4,5,6
Diptera,Ceratopogonidae,Bezzia,2,1,1,2
Diptera,Chironomidae,Parachironomus,2,2,2,2
Diptera,Chironomidae,Tribelos,2,2,2,2
Diptera,Dolichopodidae,Gymnopternus,2,2,3,4
Diptera,Drosophilidae,Chymomyza,2,2,2,2
Diptera,Drosophilidae,Scaptomyza,2,2,2,2
Diptera,Limoniidae,Cladura,2,2,2,3
Diptera,Limoniidae,Ormosia,2,2,2,4
Diptera,Mycetophilidae,Greenomyia,2,2,2,3
Diptera,Tachinidae,Senometopia,2,8,7,18
Ephemeroptera,Baetidae,Callibaetis,2,3,5,7
Ephemeroptera,Heptageniidae,Rhithrogena,2,1,2,5
Hemiptera,Aphididae,NA,2,3,3,3
Hemiptera,Cicadellidae,Macrosteles,2,2,2,2
Hemiptera,Cicadellidae,Ponana,2,3,3,3
Hemiptera,Cicadidae,Tibicen,2,3,2,3
Hemiptera,Derbidae,Apache,2,2,3,3
Hemiptera,Derbidae,Patara,2,3,3,5
Hemiptera,Miridae,Phoenicocoris,2,4,3,15
Hemiptera,Miridae,Stenodema,2,2,2,2
Hemiptera,Miridae,Tropidosteptes,2,4,3,4
Hymenoptera,Braconidae,Euphoriella,2,2,3,3
Hymenoptera,Formicidae,Formica,2,2,2,2
Hymenoptera,Ichneumonidae,Acrodactyla,2,1,2,2
Lepidoptera,Blastobasidae,Holcocera,2,2,1,2
Lepidoptera,Crambidae,Fissicrambus,2,2,2,2
Lepidoptera,Crambidae,Palpita,2,1,1,1
Lepidoptera,Crambidae,Udea,2,2,2,2
Lepidoptera,Erebidae,Hyphantria,2,2,2,2
Lepidoptera,Gelechiidae,Carpatolechia,2,2,2,2
Lepidoptera,Gelechiidae,Neotelphusa,2,1,1,2
Lepidoptera,Geometridae,Campaea,2,3,5,7
Lepidoptera,Geometridae,Cladara,2,3,2,3
Lepidoptera,Geometridae,Eufidonia,2,4,5,5
Lepidoptera,Geometridae,Eulithis,2,5,6,11
Lepidoptera,Geometridae,Eupithecia,2,2,1,2
Lepidoptera,Geometridae,Eutrapela,2,2,2,2
Lepidoptera,Geometridae,Macaria,2,1,2,2
Lepidoptera,Geometridae,Scopula,2,2,2,2
Lepidoptera,Hepialidae,Sthenopis,2,2,2,2
Lepidoptera,Noctuidae,Apamea,2,2,2,2
Lepidoptera,Oecophoridae,Epicallima,2,4,3,6
Lepidoptera,Plutellidae,Plutella,2,1,1,2
Lepidoptera,Pyralidae,Acrobasis,2,2,2,2
Lepidoptera,Sphingidae,NA,2,2,2,2
Lepidoptera,Tineidae,Homosetia,2,1,1,2
Lepidoptera,Tortricidae,Apotomis,2,4,5,5
Lepidoptera,Tortricidae,Eucosma,2,2,2,2
Lepidoptera,Tortricidae,Gymnandrosoma,2,2,1,2
Lepidoptera,Tortricidae,Syndemis,2,3,3,3
Neuroptera,Coniopterygidae,Conwentzia,2,1,3,12
Psocodea,Peripsocidae,Peripsocus,2,3,5,11
Psocodea,Psocidae,Loensia,2,3,2,5
Trichoptera,Hydroptilidae,Orthotrichia,2,2,2,2
Trichoptera,Leptoceridae,Nectopsyche,2,2,2,2
Trichoptera,Limnephilidae,Ironoquia,2,3,3,3
Trichoptera,Limnephilidae,Nemotaulius,2,4,4,4
Araneae,Agelenidae,Agelenopsis,1,1,1,1
Araneae,Amaurobiidae,Callobius,1,1,1,1
Araneae,Araneidae,NA,1,1,1,1
Araneae,Araneidae,Neoscona,1,1,2,2
Araneae,Dictynidae,Emblyna,1,1,1,1
Araneae,Linyphiidae,NA,1,1,1,1
Araneae,Linyphiidae,Idionella,1,1,1,1
Araneae,Linyphiidae,Pityohyphantes,1,2,2,3
Araneae,Lycosidae,Arctosa,1,1,1,1
Araneae,Lycosidae,Piratula,1,1,1,1
Araneae,Theridiidae,Dipoena,1,1,1,1
Araneae,Theridiidae,Neospintharus,1,2,2,2
Araneae,Theridiidae,Parasteatoda,1,1,1,1
Araneae,Theridiosomatidae,Theridiosoma,1,1,1,1
Blattodea,Ectobiidae,NA,1,5,6,7
Blattodea,Ectobiidae,Ectobius,1,1,1,1
Blattodea,Ectobiidae,Supella,1,1,1,1
Blattodea,Rhinotermitidae,Reticulitermes,1,2,3,4
Coleoptera,Artematopodidae,Eurypogon,1,1,1,1
Coleoptera,Byrrhidae,Simplocaria,1,1,1,1
Coleoptera,Cantharidae,Dichelotarsus,1,1,1,1
Coleoptera,Carabidae,Badister,1,1,1,1
Coleoptera,Carabidae,Calosoma,1,2,2,3
Coleoptera,Carabidae,Dromius,1,1,1,1
Coleoptera,Carabidae,Sphaerostylus,1,1,1,1
Coleoptera,Cerambycidae,Elaphidion,1,2,2,2
Coleoptera,Cerambycidae,Eupogonius,1,1,1,1
Coleoptera,Cerambycidae,Lepturges,1,1,1,1
Coleoptera,Chrysomelidae,Acalymma,1,1,1,1
Coleoptera,Chrysomelidae,Plagiodera,1,1,1,1
Coleoptera,Ciidae,Cis,1,1,1,1
Coleoptera,Cleridae,Cymatodera,1,1,1,1
Coleoptera,Cleridae,Neorthopleura,1,1,1,1
Coleoptera,Coccinellidae,Anatis,1,1,1,1
Coleoptera,Curculionidae,Myosides,1,1,1,1
Coleoptera,Curculionidae,Xyleborus,1,1,1,1
Coleoptera,Elateridae,Ampedus,1,1,1,1
Coleoptera,Elateridae,Limoniscus,1,1,1,2
Coleoptera,Elateridae,Pseudanostirus,1,2,2,3
Coleoptera,Gyrinidae,Gyrinus,1,1,1,1
Coleoptera,Heteroceridae,Heterocerus,1,1,1,1
Coleoptera,Hydrophilidae,NA,1,1,1,1
Coleoptera,Lampyridae,Ellychnia,1,1,1,1
Coleoptera,Latridiidae,Melanophthalma,1,1,1,1
Coleoptera,Lycidae,Leptoceletes,1,2,2,2
Coleoptera,Melandryidae,NA,1,2,2,2
Coleoptera,Melyridae,Malachius,1,1,1,1
Coleoptera,Mycetophagidae,Litargus,1,2,2,2
Coleoptera,Mycetophagidae,Typhaea,1,4,4,5
Coleoptera,Nitidulidae,NA,1,1,1,1
Coleoptera,Oedemeridae,NA,1,1,1,1
Coleoptera,Phalacridae,Olibrus,1,1,1,1
Coleoptera,Ptilodactylidae,Ptilodactyla,1,1,1,1
Coleoptera,Ptinidae,Ptinus,1,1,1,1
Coleoptera,Scarabaeidae,Nipponoserica,1,8,8,18
Coleoptera,Staphylinidae,Acidota,1,1,1,1
Coleoptera,Staphylinidae,Lathrobium,1,1,1,1
Diptera,Acroceridae,Ogcodes,1,1,1,1
Diptera,Anthomyiidae,NA,1,2,2,2
Diptera,Anthomyiidae,Lasiomma,1,1,1,1
Diptera,Asilidae,NA,1,1,1,1
Diptera,Bibionidae,Bibio,1,2,2,2
Diptera,Bolitophilidae,Bolitophila,1,2,2,2
Diptera,Calliphoridae,Pollenia,1,2,2,3
Diptera,Ceratopogonidae,Allohelea,1,1,1,1
Diptera,Ceratopogonidae,Atrichopogon,1,2,2,2
Diptera,Ceratopogonidae,Culicoides,1,1,1,1
Diptera,Ceratopogonidae,Sphaeromias,1,1,1,1
Diptera,Chamaemyiidae,NA,1,1,1,1
Diptera,Chironomidae,Brillia,1,2,1,4
Diptera,Chironomidae,Cryptochironomus,1,1,1,1
Diptera,Chironomidae,Parametriocnemus,1,1,1,1
Diptera,Chironomidae,Paratanytarsus,1,1,1,2
Diptera,Chironomidae,Phaenopsectra,1,2,4,5
Diptera,Chironomidae,Psectrocladius,1,1,1,1
Diptera,Chironomidae,Smittia,1,1,1,1
Diptera,Chloropidae,Parectecephala,1,1,1,1
Diptera,Dolichopodidae,Condylostylus,1,2,2,3
Diptera,Empididae,Rhamphomyia,1,1,1,1
Diptera,Heleomyzidae,NA,1,1,1,1
Diptera,Hybotidae,NA,1,1,1,1
Diptera,Lauxaniidae,Poecilolycia,1,1,1,1
Diptera,Limoniidae,Atarba,1,1,1,1
Diptera,Limoniidae,Symplecta,1,1,1,1
Diptera,Limoniidae,Toxorhina,1,1,1,1
Diptera,Muscidae,Helina,1,1,1,1
Diptera,Muscidae,Phaonia,1,1,1,1
Diptera,Mycetophilidae,NA,1,1,1,1
Diptera,Mycetophilidae,Brachypeza,1,1,1,1
Diptera,Mycetophilidae,Exechia,1,1,1,1
Diptera,Pediciidae,NA,1,1,1,1
Diptera,Pediciidae,Pedicia,1,1,1,1
Diptera,Pediciidae,Tricyphona,1,1,1,2
Diptera,Phoridae,Megaselia,1,1,1,1
Diptera,Pyrgotidae,Sphecomyiella,1,1,1,1
Diptera,Rhagionidae,Rhagio,1,2,2,2
Diptera,Scathophagidae,Scathophaga,1,1,1,1
Diptera,Sciaridae,NA,1,1,1,1
Diptera,Sciaridae,Schwenckfeldina,1,2,2,2
Diptera,Simuliidae,NA,1,1,1,1
Diptera,Sphaeroceridae,Spelobia,1,1,1,1
Diptera,Stratiomyidae,Odontomyia,1,1,1,1
Diptera,Syrphidae,NA,1,1,1,1
Diptera,Syrphidae,Chrysosyrphus,1,1,1,1
Diptera,Syrphidae,Xylota,1,1,1,1
Diptera,Tachinidae,Eulasiona,1,1,1,1
Diptera,Tachinidae,Gonia,1,4,3,4
Diptera,Tachinidae,Tachinomyia,1,1,1,2
Diptera,Tachinidae,Uramya,1,1,1,1
Diptera,Trichoceridae,NA,1,1,1,1
Diptera,Trichoceridae,Trichocera,1,2,3,3
Ephemeroptera,Baetidae,Centroptilum,1,1,1,1
Ephemeroptera,Baetiscidae,Baetisca,1,1,1,2
Ephemeroptera,Ephemerellidae,Drunella,1,6,3,9
Ephemeroptera,Ephemerellidae,Penelomax,1,1,1,1
Ephemeroptera,Heptageniidae,NA,1,1,2,6
Ephemeroptera,Heptageniidae,Nixe,1,1,1,1
Ephemeroptera,Siphlonuridae,Siphlonurus,1,1,1,1
Hemiptera,Acanthosomatidae,Elasmostethus,1,1,1,1
Hemiptera,Achilidae,Synecdoche,1,1,1,1
Hemiptera,Aphididae,Macrosiphum,1,1,1,1
Hemiptera,Aphididae,Prociphilus,1,1,1,1
Hemiptera,Aphididae,Schizaphis,1,1,1,1
Hemiptera,Aphididae,Sitobion,1,1,1,1
Hemiptera,Aphrophoridae,NA,1,1,1,1
Hemiptera,Cicadellidae,Nesophrosyne,1,1,1,1
Hemiptera,Corixidae,Sigara,1,1,1,1
Hemiptera,Mesoveliidae,Mesovelia,1,1,2,2
Hemiptera,Pyrrhocoridae,Dindymus,1,1,1,1
Hemiptera,Rhyparochromidae,Ozophora,1,7,6,12
Hymenoptera,Braconidae,Aleiodes,1,1,1,1
Hymenoptera,Braconidae,Microplitis,1,1,1,1
Hymenoptera,Braconidae,Peristenus,1,1,1,1
Hymenoptera,Formicidae,Camponotus,1,3,3,3
Hymenoptera,Formicidae,Tetramorium,1,4,3,10
Hymenoptera,Ichneumonidae,Campoletis,1,1,1,1
Hymenoptera,Ichneumonidae,Coleocentrus,1,1,1,1
Hymenoptera,Ichneumonidae,Diplazon,1,1,1,1
Hymenoptera,Ichneumonidae,Ichneumon,1,1,1,1
Hymenoptera,Ichneumonidae,Opheltes,1,1,1,1
Hymenoptera,Ichneumonidae,Phobocampe,1,2,1,2
Hymenoptera,Ichneumonidae,Therion,1,1,1,1
Hymenoptera,Xyelidae,Xyela,1,1,1,1
Lepidoptera,Anthelidae,Anthela,1,1,1,1
Lepidoptera,Bucculatricidae,Bucculatrix,1,1,1,1
Lepidoptera,Carposinidae,Bondia,1,1,1,1
Lepidoptera,Crambidae,Agriphila,1,1,1,1
Lepidoptera,Crambidae,Chrysoteuchia,1,4,4,9
Lepidoptera,Crambidae,Eoparargyractis,1,2,5,5
Lepidoptera,Crambidae,Microthyris,1,1,1,1
Lepidoptera,Crambidae,Nascia,1,1,1,1
Lepidoptera,Crambidae,Parapediasia,1,2,2,2
Lepidoptera,Crambidae,Thaumatopsis,1,1,1,1
Lepidoptera,Elachistidae,Chrysoclista,1,1,1,1
Lepidoptera,Erebidae,Allerastria,1,2,2,2
Lepidoptera,Erebidae,Catocala,1,1,1,1
